country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
IND,India,KADRA,IND0000168,150,14.8901,74.3916,Hydro,,,,1998,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,403.1143,219.3776,175.5379,191.94545,373.97075,,Central Electricity Authority,
IND,India,KAHALGAON,IND0000169,2340,25.2349,87.2635,Coal,Oil,,,2003,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,170.259,14471,14192,14834.8,15177,15305.22,,Central Electricity Authority,
IND,India,KAIGA,IND0000170,880,14.865,74.4385,Nuclear,,,,2004,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0,5866.94,6996,5931.49,6825.73,6532.35,,Central Electricity Authority,
IND,India,KAKATIYA TPP,IND0000171,1100,18.3835,79.8265,Coal,Oil,,,2012,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,4106.29,3408.69,6130.019928,7006.7913,7321.2679,,Central Electricity Authority,
IND,India,KAKKAD,IND0000172,50,9.3275,76.9717,Hydro,,,,1999,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,191.9753,183.2989,131.0216,159.0806,220.5517,,Central Electricity Authority,
IND,India,KAKRAPARA,IND0000173,440,21.2384,73.3489,Nuclear,,,,1993,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.008,3155,1784,0,0,881.02,,Central Electricity Authority,
IND,India,KALINADI,IND0000174,855,15.2761,74.5268,Hydro,,,,1981,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,3.387,3239.1429,1938.7376,1338.0959,1529.5936,2763.96075,,Central Electricity Authority,
IND,India,KALINADI SUPA,IND0000175,100,15.2761,74.5268,Hydro,,,,1985,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,398.985,451.0534,323.3153,238.004,289.5251,593.1792,,Central Electricity Authority,
IND,India,KALISINDH,IND0000176,1200,24.5295,76.0986,Coal,Oil,,,2014,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,348.908,1154.342,5508.7643,5531.3308,6249.927,5180.6,,Central Electricity Authority,
IND,India,KALLADA,IND0000177,15,8.9553,77.0697,Hydro,,,,1994,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,361.051,,,,,,,,
