country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,Kalumburu,AUS0000378,0.7,-14.2939,126.644,Oil,,,,,,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,2.270277778,2.076111111,,Australia Clean Energy Regulator,
AUS,Australia,Kambalda,AUS0000210,42,-31.1919,121.6741,Gas,,,,1995,Southern Cross Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,276.9975,217.9963889,181.0197222,232.4527778,259.5561111,268.5922222,,Australia Clean Energy Regulator,
AUS,Australia,Kangaroo Valley (Shoalhaven Scheme),AUS0000279,160,-34.723,150.4795,Hydro,,,,,Eraring Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Karadoc Solar Farm,AUS0000448,112,-34.4154,142.2521,Solar,,,,,BayWa,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kareeya,AUS0000161,88,-17.767,145.5779,Hydro,,,,,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,471.5858333,597.9138889,448.3927778,295.0736111,487.8033333,450.4194444,,Australia Clean Energy Regulator,
AUS,Australia,Karratha,AUS0000189,86,-20.7626,116.8375,Gas,,,,,ATCO Power,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,493.5102778,446.5397222,474.165,452.0519444,345.4705556,78.92444444,,Australia Clean Energy Regulator,
AUS,Australia,Katherine,AUS0000259,34.7,-14.4587,132.2445,Gas,,,,1995,NT Government,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,33.31416667,18.73805556,15.54611111,11.24722222,24.29333333,19.89305556,,Australia Clean Energy Regulator,
AUS,Australia,Kemerton,AUS0000211,260.9,-33.1633,115.7805,Gas,,,,1999,Transfield Services Infrastructure Fund,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,79.17305556,83.96583333,119.7866667,107.7691667,69.45694444,,Australia Clean Energy Regulator,
AUS,Australia,Kiata Wind Farm,AUS0000506,31.05,-36.3966,141.7474,Wind,,,,,Windlab Limited,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,5.773333333,,Australia Clean Energy Regulator,
AUS,Australia,King Island (Currie),AUS0000449,8.55,-39.9388,143.892,Oil,,,,1994,Hydro Tasmania,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
